-1.5,1.28E-06
-1.49,1.27E-06
-1.48,1.26E-06
-1.47,1.25E-06
-1.46,1.24E-06
-1.45,1.23E-06
-1.44,1.22E-06
-1.43,1.21E-06
-1.42,1.20E-06
-1.41,1.19E-06
-1.4,1.18E-06
-1.39,1.17E-06
-1.38,1.16E-06
-1.37,1.15E-06
-1.36,1.14E-06
-1.35,1.13E-06
-1.34,1.12E-06
-1.33,1.11E-06
-1.32,1.10E-06
-1.31,1.09E-06
-1.3,1.08E-06
-1.29,1.07E-06
-1.28,1.06E-06
-1.27,1.05E-06
-1.26,1.04E-06
-1.25,1.03E-06
-1.24,1.02E-06
-1.23,1.01E-06
-1.22,9.98E-07
-1.21,9.88E-07
-1.2,9.78E-07
-1.19,9.68E-07
-1.18,9.58E-07
-1.17,9.48E-07
-1.16,9.38E-07
-1.15,9.28E-07
-1.14,9.17E-07
-1.13,9.07E-07
-1.12,8.97E-07
-1.11,8.87E-07
-1.1,8.77E-07
-1.09,8.67E-07
-1.08,8.57E-07
-1.07,8.47E-07
-1.06,8.37E-07
-1.05,8.26E-07
-1.04,8.16E-07
-1.03,8.06E-07
-1.02,7.96E-07
-1.01,7.85E-07
-1,7.75E-07
-0.99,7.65E-07
-0.98,7.55E-07
-0.97,7.44E-07
-0.96,7.34E-07
-0.95,7.23E-07
-0.94,7.13E-07
-0.93,7.02E-07
-0.92,6.92E-07
-0.91,6.81E-07
-0.9,6.71E-07
-0.89,6.60E-07
-0.88,6.50E-07
-0.87,6.39E-07
-0.86,6.28E-07
-0.85,6.17E-07
-0.84,6.06E-07
-0.83,5.96E-07
-0.82,5.85E-07
-0.81,5.73E-07
-0.8,5.62E-07
-0.79,5.51E-07
-0.78,5.40E-07
-0.77,5.28E-07
-0.76,5.16E-07
-0.75,5.05E-07
-0.74,4.93E-07
-0.73,4.80E-07
-0.72,4.68E-07
-0.71,4.55E-07
-0.7,4.42E-07
-0.69,4.28E-07
-0.68,4.14E-07
-0.67,3.99E-07
-0.66,3.82E-07
-0.65,3.63E-07
-0.64,3.40E-07
-0.63,0
-0.62,0
-0.61,0
-0.6,0
-0.59,0
-0.58,0
-0.57,0
-0.56,0
-0.55,0
-0.54,0
-0.53,0
-0.52,0
-0.51,0
-0.5,0
-0.49,0
-0.48,0
-0.47,0
-0.46,0
-0.45,0
-0.44,0
-0.43,0
-0.42,0
-0.41,0
-0.4,0
-0.39,0
-0.38,0
-0.37,0
-0.36,0
-0.35,0
-0.34,0
-0.33,0
-0.32,0
-0.31,2.14E-07
-0.3,2.10E-07
-0.29,2.07E-07
-0.28,2.03E-07
-0.27,1.99E-07
-0.26,1.96E-07
-0.25,1.92E-07
-0.24,1.88E-07
-0.23,1.84E-07
-0.22,1.80E-07
-0.21,1.76E-07
-0.2,1.72E-07
-0.19,1.67E-07
-0.18,1.63E-07
-0.17,1.58E-07
-0.16,1.53E-07
-0.15,1.49E-07
-0.14,1.44E-07
-0.13,1.38E-07
-0.12,1.33E-07
-0.11,1.27E-07
-0.1,1.21E-07
-0.09,1.15E-07
-0.08,1.09E-07
-0.07,1.02E-07
-0.06,9.40E-08
-0.05,8.58E-08
-0.04,7.67E-08
-0.03,6.64E-08
-0.02,5.43E-08
-0.01,3.84E-08
0,1.33E-15
0.01,3.33E-08
0.02,4.50E-08
0.03,5.32E-08
0.04,5.95E-08
0.05,6.48E-08
0.06,6.93E-08
0.07,7.32E-08
0.08,7.67E-08
0.09,7.99E-08
0.1,8.27E-08
0.11,8.54E-08
0.12,8.79E-08
0.13,9.03E-08
0.14,9.26E-08
0.15,9.47E-08
0.16,9.69E-08
0.17,9.90E-08
0.18,1.01E-07
0.19,1.03E-07
0.2,1.06E-07
0.21,1.08E-07
0.22,1.11E-07
0.23,1.13E-07
0.24,1.17E-07
0.25,1.20E-07
0.26,1.24E-07
0.27,1.29E-07
0.28,1.35E-07
0.29,1.42E-07
0.3,1.50E-07
0.31,1.61E-07
0.32,1.74E-07
0.33,1.91E-07
0.34,2.13E-07
0.35,2.42E-07
0.36,2.80E-07
0.37,3.30E-07
0.38,3.95E-07
0.39,4.81E-07
0.4,5.93E-07
0.41,7.27E-07
0.42,8.84E-07
0.43,1.07E-06
0.44,1.27E-06
0.45,1.51E-06
0.46,1.77E-06
0.47,2.05E-06
0.48,2.36E-06
0.49,2.70E-06
0.5,3.06E-06
0.51,3.45E-06
0.52,3.86E-06
0.53,4.29E-06
0.54,4.74E-06
0.55,5.22E-06
0.56,5.71E-06
0.57,6.22E-06
0.58,6.74E-06
0.59,7.29E-06
0.6,7.85E-06
0.61,8.42E-06
0.62,9.00E-06
0.63,9.60E-06
0.64,1.02E-05
0.65,1.08E-05
0.66,1.15E-05
0.67,1.21E-05
0.68,1.27E-05
0.69,1.34E-05
0.7,1.41E-05
0.71,1.47E-05
0.72,1.54E-05
0.73,1.61E-05
0.74,1.68E-05
0.75,1.75E-05
0.76,1.82E-05
0.77,1.89E-05
0.78,1.96E-05
0.79,2.03E-05
0.8,2.11E-05
0.81,2.18E-05
0.82,2.25E-05
0.83,2.33E-05
0.84,2.40E-05
0.85,2.47E-05
0.86,2.55E-05
0.87,2.62E-05
0.88,2.70E-05
0.89,2.77E-05
0.9,2.85E-05
0.91,2.93E-05
0.92,3.00E-05
0.93,3.08E-05
0.94,3.16E-05
0.95,3.23E-05
0.96,3.31E-05
0.97,3.39E-05
0.98,3.47E-05
0.99,3.54E-05
1,3.62E-05
1.01,3.70E-05
1.02,3.78E-05
1.03,3.86E-05
1.04,3.94E-05
1.05,4.02E-05
1.06,4.09E-05
1.07,4.17E-05
1.08,4.25E-05
1.09,4.33E-05
1.1,4.41E-05
1.11,4.49E-05
1.12,4.57E-05
1.13,4.65E-05
1.14,4.73E-05
1.15,4.81E-05
1.16,4.89E-05
1.17,4.97E-05
1.18,5.05E-05
1.19,5.14E-05
1.2,5.22E-05
1.21,5.30E-05
1.22,5.38E-05
1.23,5.46E-05
1.24,5.54E-05
1.25,5.62E-05
1.26,5.70E-05
1.27,5.78E-05
1.28,5.87E-05
1.29,5.95E-05
1.3,6.03E-05
1.31,6.11E-05
1.32,6.19E-05
1.33,6.28E-05
1.34,6.36E-05
1.35,6.44E-05
1.36,6.52E-05
1.37,6.60E-05
1.38,6.69E-05
1.39,6.77E-05
1.4,6.85E-05
1.41,6.93E-05
1.42,7.02E-05
1.43,7.10E-05
1.44,7.18E-05
1.45,7.26E-05
1.46,7.35E-05
1.47,7.43E-05
1.48,7.51E-05
1.49,7.60E-05
1.5,7.68E-05
-1.5,1.28E-06
-1.49,1.27E-06
-1.48,1.26E-06
-1.47,1.25E-06
-1.46,1.24E-06
-1.45,1.23E-06
-1.44,1.22E-06
-1.43,1.21E-06
-1.42,1.20E-06
-1.41,1.19E-06
-1.4,1.18E-06
-1.39,1.17E-06
-1.38,1.16E-06
-1.37,1.15E-06
-1.36,1.14E-06
-1.35,1.13E-06
-1.34,1.12E-06
-1.33,1.11E-06
-1.32,1.10E-06
-1.31,1.09E-06
-1.3,1.08E-06
-1.29,1.07E-06
-1.28,1.06E-06
-1.27,1.05E-06
-1.26,1.04E-06
-1.25,1.03E-06
-1.24,1.02E-06
-1.23,1.01E-06
-1.22,9.99E-07
-1.21,9.89E-07
-1.2,9.79E-07
-1.19,9.69E-07
-1.18,9.59E-07
-1.17,9.49E-07
-1.16,9.38E-07
-1.15,9.28E-07
-1.14,9.18E-07
-1.13,9.08E-07
-1.12,8.98E-07
-1.11,8.88E-07
-1.1,8.78E-07
-1.09,8.68E-07
-1.08,8.58E-07
-1.07,8.48E-07
-1.06,8.37E-07
-1.05,8.27E-07
-1.04,8.17E-07
-1.03,8.07E-07
-1.02,7.97E-07
-1.01,7.86E-07
-1,7.76E-07
-0.99,7.66E-07
-0.98,7.55E-07
-0.97,7.45E-07
-0.96,7.35E-07
-0.95,7.24E-07
-0.94,7.14E-07
-0.93,7.03E-07
-0.92,6.93E-07
-0.91,6.82E-07
-0.9,6.72E-07
-0.89,6.61E-07
-0.88,6.51E-07
-0.87,6.40E-07
-0.86,6.29E-07
-0.85,6.18E-07
-0.84,6.07E-07
-0.83,5.97E-07
-0.82,5.85E-07
-0.81,5.74E-07
-0.8,5.63E-07
-0.79,5.52E-07
-0.78,5.41E-07
-0.77,5.29E-07
-0.76,5.17E-07
-0.75,5.06E-07
-0.74,4.94E-07
-0.73,4.81E-07
-0.72,4.69E-07
-0.71,4.56E-07
-0.7,4.43E-07
-0.69,4.29E-07
-0.68,4.15E-07
-0.67,4.00E-07
-0.66,3.84E-07
-0.65,3.65E-07
-0.64,3.42E-07
-0.63,0
-0.62,0
-0.61,0
-0.6,0
-0.59,0
-0.58,0
-0.57,0
-0.56,0
-0.55,0
-0.54,0
-0.53,0
-0.52,0
-0.51,0
-0.5,0
-0.49,0
-0.48,0
-0.47,0
-0.46,0
-0.45,0
-0.44,0
-0.43,0
-0.42,0
-0.41,0
-0.4,0
-0.39,0
-0.38,0
-0.37,0
-0.36,0
-0.35,0
-0.34,0
-0.33,0
-0.32,0
-0.31,2.14E-07
-0.3,2.10E-07
-0.29,2.07E-07
-0.28,2.03E-07
-0.27,2.00E-07
-0.26,1.96E-07
-0.25,1.92E-07
-0.24,1.88E-07
-0.23,1.84E-07
-0.22,1.80E-07
-0.21,1.76E-07
-0.2,1.72E-07
-0.19,1.68E-07
-0.18,1.63E-07
-0.17,1.59E-07
-0.16,1.54E-07
-0.15,1.49E-07
-0.14,1.44E-07
-0.13,1.39E-07
-0.12,1.33E-07
-0.11,1.28E-07
-0.1,1.22E-07
-0.09,1.16E-07
-0.08,1.09E-07
-0.07,1.02E-07
-0.06,9.46E-08
-0.05,8.65E-08
-0.04,7.75E-08
-0.03,6.74E-08
-0.02,5.54E-08
-0.01,4.00E-08
0,1.13E-08
0.01,3.20E-08
0.02,4.42E-08
0.03,5.26E-08
0.04,5.90E-08
0.05,6.44E-08
0.06,6.89E-08
0.07,7.29E-08
0.08,7.64E-08
0.09,7.96E-08
0.1,8.25E-08
0.11,8.52E-08
0.12,8.77E-08
0.13,9.01E-08
0.14,9.24E-08
0.15,9.46E-08
0.16,9.67E-08
0.17,9.88E-08
0.18,1.01E-07
0.19,1.03E-07
0.2,1.05E-07
0.21,1.08E-07
0.22,1.10E-07
0.23,1.13E-07
0.24,1.16E-07
0.25,1.20E-07
0.26,1.24E-07
0.27,1.29E-07
0.28,1.34E-07
0.29,1.41E-07
0.3,1.49E-07
0.31,1.60E-07
0.32,1.73E-07
0.33,1.89E-07
0.34,2.11E-07
0.35,2.39E-07
0.36,2.76E-07
0.37,3.25E-07
0.38,3.89E-07
0.39,4.73E-07
0.4,5.82E-07
0.41,7.14E-07
0.42,8.70E-07
0.43,1.05E-06
0.44,1.25E-06
0.45,1.49E-06
0.46,1.74E-06
0.47,2.03E-06
0.48,2.33E-06
0.49,2.67E-06
0.5,3.03E-06
0.51,3.41E-06
0.52,3.82E-06
0.53,4.25E-06
0.54,4.70E-06
0.55,5.17E-06
0.56,5.66E-06
0.57,6.17E-06
0.58,6.70E-06
0.59,7.24E-06
0.6,7.79E-06
0.61,8.37E-06
0.62,8.95E-06
0.63,9.54E-06
0.64,1.02E-05
0.65,1.08E-05
0.66,1.14E-05
0.67,1.20E-05
0.68,1.27E-05
0.69,1.33E-05
0.7,1.40E-05
0.71,1.47E-05
0.72,1.54E-05
0.73,1.60E-05
0.74,1.67E-05
0.75,1.74E-05
0.76,1.81E-05
0.77,1.88E-05
0.78,1.96E-05
0.79,2.03E-05
0.8,2.10E-05
0.81,2.17E-05
0.82,2.24E-05
0.83,2.32E-05
0.84,2.39E-05
0.85,2.47E-05
0.86,2.54E-05
0.87,2.62E-05
0.88,2.69E-05
0.89,2.77E-05
0.9,2.84E-05
0.91,2.92E-05
0.92,2.99E-05
0.93,3.07E-05
0.94,3.15E-05
0.95,3.22E-05
0.96,3.30E-05
0.97,3.38E-05
0.98,3.46E-05
0.99,3.54E-05
1,3.61E-05
1.01,3.69E-05
1.02,3.77E-05
1.03,3.85E-05
1.04,3.93E-05
1.05,4.01E-05
1.06,4.09E-05
1.07,4.16E-05
1.08,4.24E-05
1.09,4.32E-05
1.1,4.40E-05
1.11,4.48E-05
1.12,4.56E-05
1.13,4.64E-05
1.14,4.72E-05
1.15,4.80E-05
1.16,4.88E-05
1.17,4.96E-05
1.18,5.04E-05
1.19,5.13E-05
1.2,5.21E-05
1.21,5.29E-05
1.22,5.37E-05
1.23,5.45E-05
1.24,5.53E-05
1.25,5.61E-05
1.26,5.69E-05
1.27,5.77E-05
1.28,5.86E-05
1.29,5.94E-05
1.3,6.02E-05
1.31,6.10E-05
1.32,6.18E-05
1.33,6.26E-05
1.34,6.35E-05
1.35,6.43E-05
1.36,6.51E-05
1.37,6.59E-05
1.38,6.68E-05
1.39,6.76E-05
1.4,6.84E-05
1.41,6.92E-05
1.42,7.00E-05
1.43,7.09E-05
1.44,7.17E-05
1.45,7.25E-05
1.46,7.34E-05
1.47,7.42E-05
1.48,7.50E-05
1.49,7.58E-05
1.5,7.67E-05
-1.5,1.28E-06
-1.49,1.27E-06
-1.48,1.26E-06
-1.47,1.25E-06
-1.46,1.24E-06
-1.45,1.23E-06
-1.44,1.22E-06
-1.43,1.21E-06
-1.42,1.20E-06
-1.41,1.19E-06
-1.4,1.18E-06
-1.39,1.17E-06
-1.38,1.16E-06
-1.37,1.15E-06
-1.36,1.14E-06
-1.35,1.13E-06
-1.34,1.12E-06
-1.33,1.11E-06
-1.32,1.10E-06
-1.31,1.09E-06
-1.3,1.08E-06
-1.29,1.07E-06
-1.28,1.06E-06
-1.27,1.05E-06
-1.26,1.04E-06
-1.25,1.03E-06
-1.24,1.02E-06
-1.23,1.01E-06
-1.22,1.00E-06
-1.21,9.95E-07
-1.2,9.85E-07
-1.19,9.75E-07
-1.18,9.65E-07
-1.17,9.55E-07
-1.16,9.45E-07
-1.15,9.35E-07
-1.14,9.24E-07
-1.13,9.14E-07
-1.12,9.04E-07
-1.11,8.94E-07
-1.1,8.84E-07
-1.09,8.74E-07
-1.08,8.64E-07
-1.07,8.54E-07
-1.06,8.44E-07
-1.05,8.33E-07
-1.04,8.23E-07
-1.03,8.13E-07
-1.02,8.03E-07
-1.01,7.93E-07
-1,7.82E-07
-0.99,7.72E-07
-0.98,7.62E-07
-0.97,7.51E-07
-0.96,7.41E-07
-0.95,7.31E-07
-0.94,7.20E-07
-0.93,7.10E-07
-0.92,6.99E-07
-0.91,6.89E-07
-0.9,6.78E-07
-0.89,6.68E-07
-0.88,6.57E-07
-0.87,6.46E-07
-0.86,6.36E-07
-0.85,6.25E-07
-0.84,6.14E-07
-0.83,6.03E-07
-0.82,5.92E-07
-0.81,5.81E-07
-0.8,5.70E-07
-0.79,5.59E-07
-0.78,5.47E-07
-0.77,5.36E-07
-0.76,5.24E-07
-0.75,5.13E-07
-0.74,5.01E-07
-0.73,4.89E-07
-0.72,4.76E-07
-0.71,4.64E-07
-0.7,4.51E-07
-0.69,4.38E-07
-0.68,4.24E-07
-0.67,4.09E-07
-0.66,3.94E-07
-0.65,3.77E-07
-0.64,3.57E-07
-0.63,3.30E-07
-0.62,0
-0.61,0
-0.6,0
-0.59,0
-0.58,0
-0.57,0
-0.56,0
-0.55,0
-0.54,0
-0.53,0
-0.52,0
-0.51,0
-0.5,0
-0.49,0
-0.48,0
-0.47,0
-0.46,0
-0.45,0
-0.44,0
-0.43,0
-0.42,0
-0.41,0
-0.4,0
-0.39,0
-0.38,0
-0.37,0
-0.36,0
-0.35,0
-0.34,0
-0.33,0
-0.32,0
-0.31,0
-0.3,2.13E-07
-0.29,2.09E-07
-0.28,2.05E-07
-0.27,2.02E-07
-0.26,1.98E-07
-0.25,1.94E-07
-0.24,1.91E-07
-0.23,1.87E-07
-0.22,1.83E-07
-0.21,1.79E-07
-0.2,1.74E-07
-0.19,1.70E-07
-0.18,1.66E-07
-0.17,1.61E-07
-0.16,1.57E-07
-0.15,1.52E-07
-0.14,1.47E-07
-0.13,1.42E-07
-0.12,1.37E-07
-0.11,1.31E-07
-0.1,1.25E-07
-0.09,1.19E-07
-0.08,1.13E-07
-0.07,1.06E-07
-0.06,9.92E-08
-0.05,9.15E-08
-0.04,8.30E-08
-0.03,7.36E-08
-0.02,6.29E-08
-0.01,4.98E-08
0,3.17E-08
0.01,1.95E-08
0.02,3.76E-08
0.03,4.79E-08
0.04,5.53E-08
0.05,6.13E-08
0.06,6.63E-08
0.07,7.06E-08
0.08,7.43E-08
0.09,7.77E-08
0.1,8.08E-08
0.11,8.36E-08
0.12,8.62E-08
0.13,8.87E-08
0.14,9.10E-08
0.15,9.33E-08
0.16,9.54E-08
0.17,9.76E-08
0.18,9.97E-08
0.19,1.02E-07
0.2,1.04E-07
0.21,1.06E-07
0.22,1.09E-07
0.23,1.12E-07
0.24,1.14E-07
0.25,1.18E-07
0.26,1.21E-07
0.27,1.26E-07
0.28,1.31E-07
0.29,1.37E-07
0.3,1.44E-07
0.31,1.53E-07
0.32,1.64E-07
0.33,1.79E-07
0.34,1.97E-07
0.35,2.21E-07
0.36,2.53E-07
0.37,2.94E-07
0.38,3.49E-07
0.39,4.20E-07
0.4,5.14E-07
0.41,6.32E-07
0.42,7.74E-07
0.43,9.39E-07
0.44,1.13E-06
0.45,1.34E-06
0.46,1.58E-06
0.47,1.85E-06
0.48,2.14E-06
0.49,2.46E-06
0.5,2.81E-06
0.51,3.18E-06
0.52,3.57E-06
0.53,3.98E-06
0.54,4.42E-06
0.55,4.88E-06
0.56,5.36E-06
0.57,5.85E-06
0.58,6.37E-06
0.59,6.90E-06
0.6,7.44E-06
0.61,8.00E-06
0.62,8.58E-06
0.63,9.17E-06
0.64,9.76E-06
0.65,1.04E-05
0.66,1.10E-05
0.67,1.16E-05
0.68,1.23E-05
0.69,1.29E-05
0.7,1.36E-05
0.71,1.42E-05
0.72,1.49E-05
0.73,1.56E-05
0.74,1.63E-05
0.75,1.70E-05
0.76,1.77E-05
0.77,1.84E-05
0.78,1.91E-05
0.79,1.98E-05
0.8,2.05E-05
0.81,2.12E-05
0.82,2.19E-05
0.83,2.27E-05
0.84,2.34E-05
0.85,2.41E-05
0.86,2.49E-05
0.87,2.56E-05
0.88,2.64E-05
0.89,2.71E-05
0.9,2.79E-05
0.91,2.86E-05
0.92,2.94E-05
0.93,3.02E-05
0.94,3.09E-05
0.95,3.17E-05
0.96,3.25E-05
0.97,3.32E-05
0.98,3.40E-05
0.99,3.48E-05
1,3.55E-05
1.01,3.63E-05
1.02,3.71E-05
1.03,3.79E-05
1.04,3.87E-05
1.05,3.95E-05
1.06,4.02E-05
1.07,4.10E-05
1.08,4.18E-05
1.09,4.26E-05
1.1,4.34E-05
1.11,4.42E-05
1.12,4.50E-05
1.13,4.58E-05
1.14,4.66E-05
1.15,4.74E-05
1.16,4.82E-05
1.17,4.90E-05
1.18,4.98E-05
1.19,5.06E-05
1.2,5.14E-05
1.21,5.22E-05
1.22,5.30E-05
1.23,5.38E-05
1.24,5.46E-05
1.25,5.54E-05
1.26,5.62E-05
1.27,5.71E-05
1.28,5.79E-05
1.29,5.87E-05
1.3,5.95E-05
1.31,6.03E-05
1.32,6.11E-05
1.33,6.19E-05
1.34,6.28E-05
1.35,6.36E-05
1.36,6.44E-05
1.37,6.52E-05
1.38,6.60E-05
1.39,6.68E-05
1.4,6.77E-05
1.41,6.85E-05
1.42,6.93E-05
1.43,7.01E-05
1.44,7.09E-05
1.45,7.18E-05
1.46,7.26E-05
1.47,7.34E-05
1.48,7.42E-05
1.49,7.51E-05
1.5,7.59E-05
-1.5,1.30E-06
-1.49,1.29E-06
-1.48,1.28E-06
-1.47,1.27E-06
-1.46,1.26E-06
-1.45,1.25E-06
-1.44,1.24E-06
-1.43,1.23E-06
-1.42,1.22E-06
-1.41,1.21E-06
-1.4,1.20E-06
-1.39,1.19E-06
-1.38,1.18E-06
-1.37,1.17E-06
-1.36,1.17E-06
-1.35,1.16E-06
-1.34,1.15E-06
-1.33,1.14E-06
-1.32,1.13E-06
-1.31,1.12E-06
-1.3,1.11E-06
-1.29,1.10E-06
-1.28,1.09E-06
-1.27,1.08E-06
-1.26,1.07E-06
-1.25,1.06E-06
-1.24,1.05E-06
-1.23,1.04E-06
-1.22,1.03E-06
-1.21,1.02E-06
-1.2,1.01E-06
-1.19,9.96E-07
-1.18,9.86E-07
-1.17,9.76E-07
-1.16,9.66E-07
-1.15,9.56E-07
-1.14,9.46E-07
-1.13,9.36E-07
-1.12,9.26E-07
-1.11,9.16E-07
-1.1,9.06E-07
-1.09,8.96E-07
-1.08,8.85E-07
-1.07,8.75E-07
-1.06,8.65E-07
-1.05,8.55E-07
-1.04,8.45E-07
-1.03,8.35E-07
-1.02,8.25E-07
-1.01,8.14E-07
-1,8.04E-07
-0.99,7.94E-07
-0.98,7.84E-07
-0.97,7.73E-07
-0.96,7.63E-07
-0.95,7.53E-07
-0.94,7.42E-07
-0.93,7.32E-07
-0.92,7.22E-07
-0.91,7.11E-07
-0.9,7.01E-07
-0.89,6.90E-07
-0.88,6.80E-07
-0.87,6.69E-07
-0.86,6.58E-07
-0.85,6.48E-07
-0.84,6.37E-07
-0.83,6.26E-07
-0.82,6.15E-07
-0.81,6.05E-07
-0.8,5.94E-07
-0.79,5.83E-07
-0.78,5.71E-07
-0.77,5.60E-07
-0.76,5.49E-07
-0.75,5.38E-07
-0.74,5.26E-07
-0.73,5.14E-07
-0.72,5.02E-07
-0.71,4.90E-07
-0.7,4.78E-07
-0.69,4.66E-07
-0.68,4.53E-07
-0.67,4.39E-07
-0.66,4.26E-07
-0.65,4.11E-07
-0.64,3.96E-07
-0.63,3.79E-07
-0.62,3.60E-07
-0.61,3.34E-07
-0.6,0
-0.59,0
-0.58,0
-0.57,0
-0.56,0
-0.55,0
-0.54,0
-0.53,0
-0.52,0
-0.51,0
-0.5,0
-0.49,0
-0.48,0
-0.47,0
-0.46,0
-0.45,0
-0.44,0
-0.43,0
-0.42,0
-0.41,0
-0.4,0
-0.39,0
-0.38,0
-0.37,0
-0.36,0
-0.35,0
-0.34,0
-0.33,0
-0.32,0
-0.31,0
-0.3,0
-0.29,0
-0.28,2.13E-07
-0.27,2.09E-07
-0.26,2.06E-07
-0.25,2.02E-07
-0.24,1.99E-07
-0.23,1.95E-07
-0.22,1.91E-07
-0.21,1.87E-07
-0.2,1.83E-07
-0.19,1.79E-07
-0.18,1.75E-07
-0.17,1.71E-07
-0.16,1.66E-07
-0.15,1.62E-07
-0.14,1.57E-07
-0.13,1.53E-07
-0.12,1.48E-07
-0.11,1.43E-07
-0.1,1.37E-07
-0.09,1.32E-07
-0.08,1.26E-07
-0.07,1.20E-07
-0.06,1.14E-07
-0.05,1.07E-07
-0.04,1.00E-07
-0.03,9.25E-08
-0.02,8.41E-08
-0.01,7.49E-08
0,6.43E-08
0.01,5.16E-08
0.02,3.45E-08
0.03,1.54E-08
0.04,3.61E-08
0.05,4.68E-08
0.06,5.45E-08
0.07,6.06E-08
0.08,6.57E-08
0.09,7.01E-08
0.1,7.39E-08
0.11,7.73E-08
0.12,8.04E-08
0.13,8.33E-08
0.14,8.59E-08
0.15,8.84E-08
0.16,9.07E-08
0.17,9.30E-08
0.18,9.52E-08
0.19,9.73E-08
0.2,9.94E-08
0.21,1.02E-07
0.22,1.04E-07
0.23,1.06E-07
0.24,1.09E-07
0.25,1.11E-07
0.26,1.14E-07
0.27,1.17E-07
0.28,1.21E-07
0.29,1.25E-07
0.3,1.30E-07
0.31,1.36E-07
0.32,1.43E-07
0.33,1.52E-07
0.34,1.63E-07
0.35,1.77E-07
0.36,1.95E-07
0.37,2.18E-07
0.38,2.48E-07
0.39,2.88E-07
0.4,3.41E-07
0.41,4.10E-07
0.42,5.01E-07
0.43,6.16E-07
0.44,7.55E-07
0.45,9.16E-07
0.46,1.10E-06
0.47,1.31E-06
0.48,1.55E-06
0.49,1.81E-06
0.5,2.10E-06
0.51,2.42E-06
